Task_ID_Dec,Task_ID_Hex,Tên_Nhiệm_Vụ,Thể_Loại,Thứ_Tự_Logic,Số_Subtask,Người_Giao_Đầu_Tiên,Nguồn_File,Tóm_Tắt_Cốt_Truyện_Gốc
156,000000000000009c,Cố Nhân Chi Tình,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\000000000000009C.xml,
157,000000000000009d,Thân Thế Chi Mê,Nhiệm vụ chính tuyến,linear,15,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\000000000000009D.xml,
158,000000000000009e,Sơn Vũ Dục Lai,Nhiệm vụ chính tuyến,linear,1,Cao Thăng [<color=green>Nghĩa Quân Tinh Nhuệ<color>],Stories\task_publish\task\000000000000009E.xml,
159,000000000000009f,Nghịch Vận Luân,Nhiệm vụ chính tuyến,linear,1,Cao Thăng [<color=green>Nghĩa Quân Tinh Nhuệ<color>],Stories\task_publish\task\000000000000009F.xml,
160,00000000000000a0,Hồ Điệp Phong Bạo,Nhiệm vụ chính tuyến,linear,1,Cao Thăng [<color=green>Nghĩa Quân Tinh Nhuệ<color>],Stories\task_publish\task\00000000000000A0.xml,
161,00000000000000a1,Tâm Đắc Thư (sơ),Nhiệm vụ chính tuyến,linear,1,,Stories\task_publish\task\00000000000000A1.xml,
162,00000000000000a2,Tâm Đắc Thư (trung),Nhiệm vụ chính tuyến,linear,1,,Stories\task_publish\task\00000000000000A2.xml,
163,00000000000000a3,Tâm Đắc Thư (cao),Nhiệm vụ chính tuyến,linear,1,,Stories\task_publish\task\00000000000000A3.xml,
164,00000000000000a4,Đánh Đuổi Cường Đạo,Nhiệm vụ chính tuyến,linear,1,Tường Tẩu,Stories\task_publish\task\00000000000000A4.xml,
165,00000000000000a5,Hành Động Ám Sát,Nhiệm vụ chính tuyến,linear,1,Nguyệt Ảnh Sa Khâu,Stories\task_publish\task\00000000000000A5.xml,
166,00000000000000a6,Đường Lang Quyền Sư,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Chấp Sự Cái Bang,Stories\task_publish\task\00000000000000A6.xml,
167,00000000000000a7,Ảnh Xã Anh Linh,Nhiệm vụ chính tuyến,linear,1,Củng Thiếu Trăn,Stories\task_publish\task\00000000000000A7.xml,
168,00000000000000a8,Hoa Hương Loa,Nhiệm vụ chính tuyến,linear,1,Lư Tiếu Bần,Stories\task_publish\task\00000000000000A8.xml,
169,00000000000000a9,Ủy Thác Của Đệ Tử Thiên Vương,Nhiệm vụ chính tuyến,linear,1,U Uất Đệ Tử,Stories\task_publish\task\00000000000000A9.xml,"Gần đây, vùng lân cận Thanh Loa Đảo của Thiên Vương Bang có rất nhiều nhân sĩ giang hồ hành tung kỳ lạ, võ công cao cường xuất hiện, đệ tử Thiên Vương Bang đến điều tra đều bị thất bại, hao tốn không ..."
170,00000000000000aa,Chế Tạo Thương Thiên Vương,Nhiệm vụ chính tuyến,linear,1,Á Lão Đầu,Stories\task_publish\task\00000000000000AA.xml,
171,00000000000000ab,Quả Sồi,Nhiệm vụ chính tuyến,linear,1,Cơ Dân Lưu Bần,Stories\task_publish\task\00000000000000AB.xml,
172,00000000000000ac,Đoạt Lại Pháp Khí,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Thiếu Lâm Trừng Trĩ,Stories\task_publish\task\00000000000000AC.xml,
173,00000000000000ad,Rượu Mông Cổ,Nhiệm vụ chính tuyến,linear,1,Vinh Đồ,Stories\task_publish\task\00000000000000AD.xml,
174,00000000000000ae,Hồi Môn Của Như Ý,Nhiệm vụ chính tuyến,linear,1,Như Ý,Stories\task_publish\task\00000000000000AE.xml,
175,00000000000000af,Hộ Vệ Hành Thương,Nhiệm vụ chính tuyến,linear,1,Cừu Tuyết,Stories\task_publish\task\00000000000000AF.xml,
176,00000000000000b0,3 vạn con Ác viên,Nhiệm vụ chính tuyến,linear,1,Phó Thông,Stories\task_publish\task\00000000000000B0.xml,
177,00000000000000b1,Vật Thị Nhân Phi,Nhiệm vụ chính tuyến,linear,1,Đường Nhu,Stories\task_publish\task\00000000000000B1.xml,
178,00000000000000b2,Bì Giáp Y,Nhiệm vụ chính tuyến,linear,1,Thợ Săn,Stories\task_publish\task\00000000000000B2.xml,
179,00000000000000b3,Cơ Quan Thú Cốt,Nhiệm vụ chính tuyến,linear,1,Thợ Rèn Bảo Thủ,Stories\task_publish\task\00000000000000B3.xml,"Một thợ rèn của Ảnh Xã vì muốn làm cho Cơ Quan Thú đi lại được, nhờ ta lấy thú cốt từ Cơ Quan Thú cho y nghiên cứu."
180,00000000000000b4,Thu Thập Mã Thảo,Nhiệm vụ chính tuyến,linear,1,Đồ Đệ Thái Lão Đầu,Stories\task_publish\task\00000000000000B4.xml,"Gần đây Cái Bang nhập vào lượng quân mã lớn, nhưng lại không tăng người làm. Đồ đệ Thái Lão Đầu vì muốn gom đủ Mã thảo, đã làm việc mỏi cả lưng, nên nhờ ta giúp một tay."
181,00000000000000b5,Cùng Chống Quan Quân,Nhiệm vụ chính tuyến,linear,1,Ngư Phu,Stories\task_publish\task\00000000000000B5.xml,"Đệ tử Thiên Vương Bang đang bị quan quân triều đình tàn sát, ta không thể khoanh tay đứng nhìn"
182,00000000000000b6,Quan Chiến,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Thiên Vương Trấn Lôi,Stories\task_publish\task\00000000000000B6.xml,"Lời của đệ tử Thiên Vương Bang chí phải, qua việc quan sát bang chủ Dương Thiết Tâm luyện quyền thuật, có thể học được rất nhiều chiêu thuật hay. Cơ hội hiếm có, ta phải tranh thủ."
183,00000000000000b7,Mối Hận Hắc Kỳ,Nhiệm vụ chính tuyến,linear,1,Quả Phụ Hắc Kỳ,Stories\task_publish\task\00000000000000B7.xml,"Võ sĩ Hắc kỳ bị Di Nhân tàn sát! Thê tử của y cầu xin ta báo thù cho y, tiêu diệt võ sĩ Di Nhân độc ác."
184,00000000000000b8,Hộ Pháp Hồng Kỳ,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Thiên Vương Kim Đào,Stories\task_publish\task\00000000000000B8.xml,"Hộ pháp Hồng kỳ đánh trọng thương nhiều đệ tử Thiên Vương, nhờ ta giáo huấn nữ tử gian ác này."
185,00000000000000b9,Đệ Tử Hoàng Kỳ,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Cái Bang Hỏa Phong,Stories\task_publish\task\00000000000000B9.xml,"Đệ tử Cái Bang không phải là đối thủ của đệ tử Hoàng kỳ, nhờ ta ra tay phá trận pháp của đệ tử Hoàng kỳ."
186,00000000000000ba,Họa Xà Đồ,Nhiệm vụ chính tuyến,linear,1,Họa Sư Nhát Gan,Stories\task_publish\task\00000000000000BA.xml,
187,00000000000000bb,Bức Thư Của Ông Lão,Nhiệm vụ chính tuyến,linear,1,,Stories\task_publish\task\00000000000000BB.xml,
188,00000000000000bc,Vào hang rắn tìm cha,Nhiệm vụ chính tuyến,linear,1,Tiểu Thiên,Stories\task_publish\task\00000000000000BC.xml,"Tiểu Thiên và cha lên núi chặt củi, vào nhầm hang rắn Hổ. Cha vì cứu Tiểu Thiên mà bị kẹt lại trong hang, hiện chưa rõ sống chết."
189,00000000000000bd,Trừng Trị Tù Phạm,Nhiệm vụ chính tuyến,linear,1,Hiệu Úy Kim Quốc Tất Minh,Stories\task_publish\task\00000000000000BD.xml,
190,00000000000000be,Thuyền Cỏ Mượn Tên,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Thúy Yên Ngọc Châu,Stories\task_publish\task\00000000000000BE.xml,
191,00000000000000bf,Trưởng Sĩ Binh,Nhiệm vụ chính tuyến,linear,1,Sơn dân vô tội,Stories\task_publish\task\00000000000000BF.xml,"Tên Trưởng sĩ binh đáng ghét đã lấy hết tài sản của sơn dân vô tội, sơn dân nhờ ta dạy cho hắn một bài học đích đáng."
192,00000000000000c0,Xuân Tàm Tân Ty,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Thúy Yên Sa Chức,Stories\task_publish\task\00000000000000C0.xml,"Để tái thiết Thúy Yên Môn sau đại loạn, khuyến khích các nữ đệ tử chăm lo thêu thùa kiếm tiền. Vì vậy cần nhiều người vào vườn dâu trong Bách Hoa Trận hái lá dâu tươi, bắt tằm để sản xuất tơ."
193,00000000000000c1,Tứ Quý Hồi Công Đơn,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Thúy Yên Hiểu Vân,Stories\task_publish\task\00000000000000C1.xml,"Ma Y Thần Tướng đoán được Thúy Yên Môn sẽ xảy ra biến cố lớn, nhưng sợ nói ra sẽ khiến các đệ tử hoang mang nên quyết định chuẩn bị trước, luyện Tứ Quý Hồi Công Đơn cho đệ tử Thúy Yên Môn, dược liệu c..."
194,00000000000000c2,Đao Khách Quỵt Nợ,Nhiệm vụ chính tuyến,linear,1,Võ Sĩ Nhất Phẩm Đường,Stories\task_publish\task\00000000000000C2.xml,
197,00000000000000c5,Chuyện Cũ Thần Châu,Nhiệm vụ chính tuyến,linear,1,Long Ngũ Thái Gia [<color=green>Nguyên Lão Nghĩa Quân<color>],Stories\task_publish\task\00000000000000C5.xml,
198,00000000000000c6,Ma Nữ,Nhiệm vụ chính tuyến,linear,1,Kiếm Nô,Stories\task_publish\task\00000000000000C6.xml,
199,00000000000000c7,Long Thương,Nhiệm vụ chính tuyến,linear,1,Kiếm Nô,Stories\task_publish\task\00000000000000C7.xml,
200,00000000000000c8,Cửu Tuyệt,Nhiệm vụ chính tuyến,linear,1,Kiếm Nô,Stories\task_publish\task\00000000000000C8.xml,
201,00000000000000c9,Tôn Sư,Nhiệm vụ chính tuyến,linear,1,Kiếm Nô,Stories\task_publish\task\00000000000000C9.xml,
202,00000000000000ca,Chuyện Cũ Giang Hồ,Nhiệm vụ chính tuyến,linear,1,Kiếm Nô,Stories\task_publish\task\00000000000000CA.xml,
203,00000000000000cb,Nhiệm Vụ Tiếp Dẫn Thiên Vương,Nhiệm vụ chính tuyến,linear,2,Bùi Viễn [<color=green>Đệ tử tiếp dẫn Thiên Vương<color>],Stories\task_publish\task\00000000000000CB.xml,
204,00000000000000cc,Nhiệm Vụ Tiếp Dẫn Cái Bang,Nhiệm vụ chính tuyến,linear,2,La Tuấn [<color=green>Đệ tử Tiếp Dẫn Cái Bang<color>],Stories\task_publish\task\00000000000000CC.xml,
205,00000000000000cd,Nhiệm Vụ Tiếp Dẫn Ngũ Độc,Nhiệm vụ chính tuyến,linear,2,Biên Nhất Xuân [<color=green>Đệ tử tiếp dẫn Ngũ Độc<color>],Stories\task_publish\task\00000000000000CD.xml,
206,00000000000000ce,Nhiệm Vụ Tiếp Dẫn Côn Lôn,Nhiệm vụ chính tuyến,linear,2,Quy Kinh Tinh [<color=green>Đệ tử tiếp dẫn Côn Lôn<color>],Stories\task_publish\task\00000000000000CE.xml,
207,00000000000000cf,Nhiệm Vụ Tiếp Dẫn Võ Đang,Nhiệm vụ chính tuyến,linear,2,Minh Tuệ [<color=green>Đệ tử tiếp dẫn Võ Đang<color>],Stories\task_publish\task\00000000000000CF.xml,
208,00000000000000d0,Nhiệm Vụ Tiếp Dẫn Thiếu Lâm,Nhiệm vụ chính tuyến,linear,2,Tịch Huyễn [<color=green>Đệ tử tiếp dẫn Thiếu Lâm<color>],Stories\task_publish\task\00000000000000D0.xml,
209,00000000000000d1,Nhiệm Vụ Tiếp Dẫn Thiên Nhẫn,Nhiệm vụ chính tuyến,linear,2,Tạ Phi Kinh [<color=green>Đệ tử tiếp dẫn Thiên Nhẫn<color>],Stories\task_publish\task\00000000000000D1.xml,
210,00000000000000d2,Nhiệm Vụ Tiếp Dẫn Nga My,Nhiệm vụ chính tuyến,linear,2,Huyền Tịnh [<color=green>Đệ tử tiếp dẫn Nga My<color>],Stories\task_publish\task\00000000000000D2.xml,
211,00000000000000d3,Nhiệm vụ tiếp dẫn Đường Môn,Nhiệm vụ chính tuyến,linear,2,Đường Tế Dân [<color=green>Đệ tử tiếp dẫn Đường Môn<color>],Stories\task_publish\task\00000000000000D3.xml,
212,00000000000000d4,Nhiệm Vụ Tiếp Dẫn Thúy Yên,Nhiệm vụ chính tuyến,linear,2,Tô Nhã [<color=green>Đệ tử tiếp dẫn Thúy Yên<color>],Stories\task_publish\task\00000000000000D4.xml,
213,00000000000000d5,Nhiệm Vụ Tiếp Dẫn Minh Giáo,Nhiệm vụ chính tuyến,linear,2,Đồng Lăng [<color=green>Đệ tử tiếp dẫn Minh Giáo<color>],Stories\task_publish\task\00000000000000D5.xml,
214,00000000000000d6,Nhiệm Vụ Tiếp Dẫn Đoàn Thị,Nhiệm vụ chính tuyến,linear,2,Đoàn Tu Tịnh [<color=green>Đệ tử tiếp dẫn Đại Lý Đoàn Thị<color>],Stories\task_publish\task\00000000000000D6.xml,
215,00000000000000d7,Nhiệm Vụ Nghĩa Quân,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\00000000000000D7.xml,
216,00000000000000d8,Vượt Ải Bạch Hổ Đường,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\00000000000000D8.xml,"Giang hồ đồn rằng, Diêm Bang buôn muối rất giàu. Từ khi chưởng môn Từ Bân Kiếm kế vị, làm tay sai cho triều đình. Từ khi bang chủ đời trước của Diêm Bang ""Tuyệt Giang Hải"" Tiều Hiển mất tích một cách ..."
217,00000000000000d9,Tương Dương Lão Binh,Nhiệm vụ chính tuyến,linear,1,Tương Dương Lão Binh,Stories\task_publish\task\00000000000000D9.xml,"Trong thành Tương Dương có một vị lão binh, sống cô độc một mình, không ai biết tên của ông ta, chỉ biết lúc trẻ đi lính, nên gọi là lão binh. Bạch Thu Lâm nhờ ta tìm hiểu cuộc sống của lão binh và nh..."
218,00000000000000da,Đấu Lôi Đài,Nhiệm vụ chính tuyến,linear,1,Ô Sơn Thanh,Stories\task_publish\task\00000000000000DA.xml,"Ô Tiểu Long là con trai của tiêu đầu Ô Vân Thông của Bách Xuyên tiêu cục phân hiệu Thành Đô, gia cảnh khá giả, từ nhỏ đã cùng thiếu gia nhà giàu chơi bời lêu lỏng, dựa thế của Bách Xuyên tiêu cục và t..."
219,00000000000000db,Nghi Chủng,Nhiệm vụ phó bản,linear,1,Bia đá lâu năm,Stories\task_publish\task\00000000000000DB.xml,"Tay sờ lên bia đá lạnh buốt, bên trên có khắc vài chữ hơi mờ, hình như chủ nhân của ngôi mộ này là thương nhân Đào Chu Công Phạm Lãi nổi tiếng cuối thời Xuân Thu Chiến Quốc. Giang hồ đồn rằng, trước k..."
220,00000000000000dc,Người Mất Tích,Nhiệm vụ phó bản,linear,1,Bia đá lâu năm,Stories\task_publish\task\00000000000000DC.xml,"Trước cổng cổ thành có một bia đá cũ, những chữ trên đó bị gió sa mạc mài mòn loang lổ, dường như ghi lại câu chuyện một thời của thành này. Không thể biết chuyện gì đã xảy ra từ những dòng chữ này, n..."
221,00000000000000dd,Phó Ước,Nhiệm vụ chính tuyến,linear,1,Đường Như,Stories\task_publish\task\00000000000000DD.xml,
222,00000000000000de,Tìm Ngựa,Nhiệm vụ chính tuyến,linear,1,Mã Bá Lạc,Stories\task_publish\task\00000000000000DE.xml,
223,00000000000000df,Lão Mặc Nhĩ,Nhiệm vụ chính tuyến,linear,1,Tiểu Anh,Stories\task_publish\task\00000000000000DF.xml,
224,00000000000000e0,Trốn Chạy,Nhiệm vụ phó bản,linear,1,Lý Hương Lan [<color=orange>Tham Lý Thiên Quỳnh Cung<color>],Stories\task_publish\task\00000000000000E0.xml,"Lúc đầu, Lý Hậu theo cách Võ Tắc Thiên tự lập bức hại con nối dõi của Quang Tông, tại Phi Long Cốc, thái tử được Phi Long tiên sinh đưa đến trốn ở Thiên Quỳnh Cung. Không ngờ, nhị đệ tử Lãnh Sương Nhi..."
225,00000000000000e1,Hành Trình Mới,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\00000000000000E1.xml,
226,00000000000000e2,Chuẩn Bị Chiến Sự (Chính tuyến),Nhiệm vụ quân doanh,linear,1,Lư Tất Khắc [<color=green>Đại Tướng Quân<color>],Stories\task_publish\task\00000000000000E2.xml,
227,00000000000000e3,Bị Chiến Nhật Thường (Hằng ngày),Nhiệm vụ quân doanh,linear,1,Lư Tất Khắc [<color=green>Đại Tướng Quân<color>],Stories\task_publish\task\00000000000000E3.xml,
228,00000000000000e4,Thao Luyện Tân Quân,Nhiệm vụ chính tuyến,linear,1,Lư Tất Khắc [<color=green>Đại Tướng Quân<color>],Stories\task_publish\task\00000000000000E4.xml,
229,00000000000000e5,Tôn Tử Binh Pháp (cấp 90),Nhiệm vụ chính tuyến,linear,1,Từ Tường Nga [<color=green>Quan Quân Nhu<color>],Stories\task_publish\task\00000000000000E5.xml,
230,00000000000000e6,Mặc Gia Cơ Quan Thuật (cấp 90),Nhiệm vụ chính tuyến,linear,1,Thiên Cơ Tử [<color=green>Cơ Quan Đại Sư<color>],Stories\task_publish\task\00000000000000E6.xml,
231,00000000000000e7,Vì Nước Vì Dân,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\00000000000000E7.xml,
232,00000000000000e8,Tân Triều Dương Quang,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\00000000000000E8.xml,
233,00000000000000e9,Tấm Lòng Ngay Thẳng,Nhiệm vụ chính tuyến,linear,1,Đậu Hạo,Stories\task_publish\task\00000000000000E9.xml,
234,00000000000000ea,Tuần Giảng Số Nhật,Nhiệm vụ chính tuyến,linear,1,Chu Hy,Stories\task_publish\task\00000000000000EA.xml,
235,00000000000000eb,Lòng Người Khó Đoán,Nhiệm vụ chính tuyến,linear,1,Chu Hy,Stories\task_publish\task\00000000000000EB.xml,
236,00000000000000ec,Sơn Vũ Dục Lai,Nhiệm vụ chính tuyến,linear,1,Bành Quy Niên,Stories\task_publish\task\00000000000000EC.xml,
237,00000000000000ed,Quyết Chiến Một Trận,Nhiệm vụ chính tuyến,linear,1,Triệu Nhữ Nhu,Stories\task_publish\task\00000000000000ED.xml,
238,00000000000000ee,Nhất Niệm Chi Nhân,Nhiệm vụ chính tuyến,linear,1,Chu Hy,Stories\task_publish\task\00000000000000EE.xml,
239,00000000000000ef,Thắng Bại Chưa Rõ,Nhiệm vụ chính tuyến,linear,1,Chu Hy,Stories\task_publish\task\00000000000000EF.xml,
240,00000000000000f0,Khánh Nguyên Đảng Cấm,Nhiệm vụ chính tuyến,linear,1,Chu Hy,Stories\task_publish\task\00000000000000F0.xml,
241,00000000000000f1,Câu Chuyện Trường Ca,Nhiệm vụ chính tuyến,linear,1,Tân Khí Tật,Stories\task_publish\task\00000000000000F1.xml,
242,00000000000000f2,Trường Ca Tam Kiệt,Nhiệm vụ chính tuyến,linear,1,Đậu Hạo,Stories\task_publish\task\00000000000000F2.xml,
243,00000000000000f3,Thăm Dò Thát Đát,Nhiệm vụ chính tuyến,linear,1,Thư Đồng,Stories\task_publish\task\00000000000000F3.xml,
244,00000000000000f4,Thảo Nguyên Anh Hùng,Nhiệm vụ chính tuyến,linear,1,Phó Thủ Lĩnh Thương Đội,Stories\task_publish\task\00000000000000F4.xml,
245,00000000000000f5,Sứ Giả Kim Quốc,Nhiệm vụ chính tuyến,linear,1,Thư Đồng,Stories\task_publish\task\00000000000000F5.xml,
246,00000000000000f6,Cố Liêu Kỳ Tài,Nhiệm vụ chính tuyến,linear,1,Triệu Nhữ Nhu,Stories\task_publish\task\00000000000000F6.xml,
247,00000000000000f7,Công Phòng Tính Cử,Nhiệm vụ chính tuyến,linear,1,Triệu Nhữ Nhu,Stories\task_publish\task\00000000000000F7.xml,
248,00000000000000f8,Giới Hào Phương Bắc,Nhiệm vụ chính tuyến,linear,1,Gián Điệp Đại Tống,Stories\task_publish\task\00000000000000F8.xml,
249,00000000000000f9,Phân Tiến Hợp Kích,Nhiệm vụ chính tuyến,linear,1,Triệu Nhữ Nhu,Stories\task_publish\task\00000000000000F9.xml,
250,00000000000000fa,Kỵ Binh Dũng Mãnh,Nhiệm vụ chính tuyến,linear,1,Triệu Nhữ Nhu,Stories\task_publish\task\00000000000000FA.xml,
251,00000000000000fb,Hạ Chủ Hoàn Tông,Nhiệm vụ chính tuyến,linear,1,Triệu Nhữ Nhu,Stories\task_publish\task\00000000000000FB.xml,
252,00000000000000fc,Dã Tâm To Lớn,Nhiệm vụ chính tuyến,linear,1,Hô Diên Lực,Stories\task_publish\task\00000000000000FC.xml,
253,00000000000000fd,Trấn Di quận vương,Nhiệm vụ chính tuyến,linear,1,Giang Hồng Linh,Stories\task_publish\task\00000000000000FD.xml,
254,00000000000000fe,Lệ Binh Mạt Mã,Nhiệm vụ chính tuyến,linear,1,Hô Diên Lực,Stories\task_publish\task\00000000000000FE.xml,
255,00000000000000ff,Thu Phục Mã Tặc,Nhiệm vụ chính tuyến,linear,1,Giang Hồng Linh,Stories\task_publish\task\00000000000000FF.xml,
256,0000000000000100,Yêu Đạo Huyền Hiệp,Nhiệm vụ chính tuyến,linear,1,Giang Hồng Linh,Stories\task_publish\task\0000000000000100.xml,
257,0000000000000101,Nhân Sinh Vô Thường,Nhiệm vụ chính tuyến,linear,1,Thư Đồng,Stories\task_publish\task\0000000000000101.xml,
258,0000000000000102,Biên Quản Đạo Châu,Nhiệm vụ chính tuyến,linear,1,Thư Đồng,Stories\task_publish\task\0000000000000102.xml,
259,0000000000000103,Biên Luyện Sứ,Nhiệm vụ chính tuyến,linear,1,Hoàng Phù Bân [Biên Luyện Sứ],Stories\task_publish\task\0000000000000103.xml,
260,0000000000000104,Binh Huyết,Nhiệm vụ chính tuyến,linear,1,Thị Vệ Lưu Ngũ,Stories\task_publish\task\0000000000000104.xml,
261,0000000000000105,Doanh Tiêu,Nhiệm vụ chính tuyến,linear,1,Hoàng Phù Bân [Biên Luyện Sứ],Stories\task_publish\task\0000000000000105.xml,
262,0000000000000106,Vũ Tiết Lang,Nhiệm vụ chính tuyến,linear,1,Hoàng Phù Bân [Biên Luyện Sứ],Stories\task_publish\task\0000000000000106.xml,
263,0000000000000107,Diệu Kế Bổ Đạo,Nhiệm vụ chính tuyến,linear,1,Tất Tái Ngộ,Stories\task_publish\task\0000000000000107.xml,
264,0000000000000108,Lấy Một Địch Trăm,Nhiệm vụ chính tuyến,linear,1,Tất Tái Ngộ,Stories\task_publish\task\0000000000000108.xml,
265,0000000000000109,Dũng Sĩ Hứa Tuấn,Nhiệm vụ chính tuyến,linear,1,Tất Tái Ngộ,Stories\task_publish\task\0000000000000109.xml,
266,000000000000010a,Vong Mệnh Chi Đồ,Nhiệm vụ chính tuyến,linear,1,Tất Tái Ngộ,Stories\task_publish\task\000000000000010A.xml,
267,000000000000010b,Chung Hữu Nhất Tử,Nhiệm vụ chính tuyến,linear,1,Tất Tái Ngộ,Stories\task_publish\task\000000000000010B.xml,
268,000000000000010c,Túi Quân Hưởng (Cấp 90),Nhiệm vụ chính tuyến,linear,1,Từ Tường Nga [<color=green>Quan Quân Nhu<color>],Stories\task_publish\task\000000000000010C.xml,
269,000000000000010d,Thủ Lĩnh Lâu La,Nhiệm vụ chính tuyến,linear,1,Tô Nam [<color=green>Trinh sát<color>],Stories\task_publish\task\000000000000010D.xml,
270,000000000000010e,Thủ Lĩnh Giám Công,Nhiệm vụ chính tuyến,linear,1,Ngụy Tiến Đức [<color=green>Trinh sát<color>],Stories\task_publish\task\000000000000010E.xml,
271,000000000000010f,Thợ Cả,Nhiệm vụ chính tuyến,linear,1,Dư Anh Nam [<color=green>Trinh sát<color>],Stories\task_publish\task\000000000000010F.xml,
272,0000000000000110,Thợ Săn Dã Nhân,Nhiệm vụ chính tuyến,linear,1,Hồng Hỉ [<color=green>Trinh sát<color>],Stories\task_publish\task\0000000000000110.xml,
273,0000000000000111,Trừng Trị Giám Công,Nhiệm vụ chính tuyến,linear,1,Nguyễn Chinh [<color=green>Trinh sát<color>],Stories\task_publish\task\0000000000000111.xml,
274,0000000000000112,Bạo Lực Man Diên,Nhiệm vụ chính tuyến,linear,1,Chu Học Tuệ [<color=green>Trinh sát<color>],Stories\task_publish\task\0000000000000112.xml,
275,0000000000000113,Quân Doanh Bổ Cấp,Nhiệm vụ chính tuyến,linear,1,Vương Nhân Hổ [<color=green>Trinh sát<color>],Stories\task_publish\task\0000000000000113.xml,
276,0000000000000114,Bức Thư Nhà,Nhiệm vụ chính tuyến,linear,1,Triệu Lâm [<color=green>Trinh sát<color>],Stories\task_publish\task\0000000000000114.xml,
277,0000000000000115,Diệt Trừ Chuột Núi,Nhiệm vụ chính tuyến,linear,1,Chu Đồng [<color=green>Trinh sát<color>],Stories\task_publish\task\0000000000000115.xml,
278,0000000000000116,Hái Thuốc,Nhiệm vụ chính tuyến,linear,1,Đinh Thiều [<color=green>Trinh sát<color>],Stories\task_publish\task\0000000000000116.xml,
279,0000000000000117,Tìm Nghĩa Quân,Nhiệm vụ chính tuyến,linear,1,Lâm Vũ [<color=green>Trinh sát<color>],Stories\task_publish\task\0000000000000117.xml,
280,0000000000000118,Câu Cá,Nhiệm vụ chính tuyến,linear,1,Lữ Tổ Nam [<color=green>Trinh sát<color>],Stories\task_publish\task\0000000000000118.xml,
281,0000000000000119,Tuyết Hồn Châu,Nhiệm vụ chính tuyến,linear,1,Vân Nhị Đao [<color=green>Khoái Đao Môn<color>],Stories\task_publish\task\0000000000000119.xml,
282,000000000000011a,Chi Lan,Nhiệm vụ chính tuyến,linear,1,Vân Tam Đao [<color=green>Khoái Đao Môn<color>],Stories\task_publish\task\000000000000011A.xml,
283,000000000000011b,Bạch Cốt Chùy,Nhiệm vụ chính tuyến,linear,1,Vân Tứ Đao [<color=green>Khoái Đao Môn<color>],Stories\task_publish\task\000000000000011B.xml,
284,000000000000011c,Tiền Xu Cổ,Nhiệm vụ chính tuyến,linear,1,Vân Ngũ Đao [<color=green>Khoái Đao Môn<color>],Stories\task_publish\task\000000000000011C.xml,
285,000000000000011d,Tim Cá Sấu Chúa,Nhiệm vụ chính tuyến,linear,1,Vân Lục Đao [<color=green>Khoái Đao Môn<color>],Stories\task_publish\task\000000000000011D.xml,
286,000000000000011e,Hoa Tặc,Nhiệm vụ chính tuyến,linear,1,Chu Do Mộ [<color=green>Tiêu Binh<color>],Stories\task_publish\task\000000000000011E.xml,
287,000000000000011f,Nhị Đương Gia,Nhiệm vụ chính tuyến,linear,1,Lăng Hỗn [<color=green>Tiêu Binh<color>],Stories\task_publish\task\000000000000011F.xml,
288,0000000000000120,Trừng Phạt,Nhiệm vụ chính tuyến,linear,1,Chu Văn [<color=green>Tiêu Binh<color>],Stories\task_publish\task\0000000000000120.xml,
289,0000000000000121,Tiên Nhũ Linh Thạch,Nhiệm vụ chính tuyến,linear,1,Vân Thất Đao [<color=green>Khoái Đao Môn<color>],Stories\task_publish\task\0000000000000121.xml,
290,0000000000000122,Luyện Võ (Sơ),Nhiệm vụ chính tuyến,linear,1,Thời Tái Hưng [<color=green>Phó Tướng<color>],Stories\task_publish\task\0000000000000122.xml,
291,0000000000000123,Gặp Họa,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000123.xml,
